Country,Class,KWh/m^2/day,Avg DHI,,KWh/m^2/day,Class,Capacity Factor
Mongolia,5,4.5-5,4.75,,,,
Mongolia,6,5-6.25,5.625,,,,
Mongolia,7,6.25-7.25,6.75,,,,
Montenegro,5,4.5-5,4.75,,,,
Montenegro,6,5-6.25,5.625,,,,
Montenegro,7,6.25-7.25,6.75,,,,
Montserrat,5,4.5-5,4.75,,,,
Morocco,1,<=3,2,,,,
Morocco,10,>7.75,9,,,,
Morocco,2,3-3.5,3.25,,,,
Morocco,3,3.5-4,3.75,,,,
Morocco,4,4-4.5,4.25,,,,
Morocco,5,4.5-5,4.75,,,,
Morocco,6,5-6.25,5.625,,,,
Morocco,7,6.25-7.25,6.75,,,,
Morocco,8,7.25-7.5,7.375,,,,
Morocco,9,7.5-7.75,7.625,,,,
Mozambique,2,3-3.5,3.25,,,,
Mozambique,3,3.5-4,3.75,,,,
Mozambique,4,4-4.5,4.25,,,,
Mozambique,5,4.5-5,4.75,,,,
Mozambique,6,5-6.25,5.625,,,,
Myanmar,1,<=3,2,,,,
Myanmar,2,3-3.5,3.25,,,,
Myanmar,3,3.5-4,3.75,,,,
Myanmar,4,4-4.5,4.25,,,,
Myanmar,5,4.5-5,4.75,,,,
Myanmar,6,5-6.25,5.625,,,,
Namibia,10,>7.75,9,,,,
